"_id","bpu","rating","userId","username"
"ObjectId(""59b864d95a6891c02e2106e0"")","eug5","1","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b866ce5a6891c02e2106e1"")","eug7","1","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b92aa25a6891c02e2106e2"")","eug3","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b92af65a6891c02e2106e3"")","eug16","3","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b92c795a6891c02e2106e4"")","eug9","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b92cc25a6891c02e2106e5"")","eug9","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b92d135a6891c02e2106e6"")","eug9","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b92d645a6891c02e2106e7"")","eug9","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b934335a6891c02e2106e9"")","eug3","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b960ad5a6891c02e21078e"")","eug8","5","ObjectId(""57a9ff7b9f7dbe5942dc49a1"")","deannadgrider"
"ObjectId(""59b961235a6891c02e210798"")","eug15","3","ObjectId(""59b95f0d5a6891c02e21077c"")","jjarellano"
"ObjectId(""59b9612b5a6891c02e210799"")","eug1","1","ObjectId(""59b95f625a6891c02e210782"")","euglenaman"
"ObjectId(""59b961375a6891c02e21079a"")","eug6","5","ObjectId(""59b95eb95a6891c02e21075e"")","Edwin"
"ObjectId(""59b9613f5a6891c02e21079b"")","eug16","5","ObjectId(""59b95eb95a6891c02e210760"")","bpat700"
"ObjectId(""59b961515a6891c02e21079f"")","eug8","2","ObjectId(""59b95ed55a6891c02e21076a"")","Tony"
"ObjectId(""59b961735a6891c02e2107a0"")","eug1","2","ObjectId(""59b95efc5a6891c02e210776"")","jagarcia25"
"ObjectId(""59b961875a6891c02e2107a4"")","eug15","1","ObjectId(""59b95f025a6891c02e210779"")","Aorozco19"
"ObjectId(""59b9618f5a6891c02e2107a5"")","eug9","5","ObjectId(""59b95fe65a6891c02e21078b"")","dilopez2"
"ObjectId(""59b961975a6891c02e2107a6"")","eug8","5","ObjectId(""59b95eb35a6891c02e21075b"")","jcisneros10"
"ObjectId(""59b9619c5a6891c02e2107a7"")","eug16","4","ObjectId(""59b960e25a6891c02e21078f"")","ilara3"
"ObjectId(""59b9619c5a6891c02e2107a8"")","eug3","3","ObjectId(""59b95e475a6891c02e210752"")","SeMaya"
"ObjectId(""59b961b95a6891c02e2107a9"")","eug1","2","ObjectId(""59b9610d5a6891c02e210792"")","lrico4"
"ObjectId(""59b961c25a6891c02e2107aa"")","eug15","5","ObjectId(""59b95eb95a6891c02e210760"")","bpat700"
"ObjectId(""59b961d25a6891c02e2107ab"")","eug6","5","ObjectId(""59b95fd55a6891c02e210788"")","Xavier"
"ObjectId(""59b961d85a6891c02e2107ac"")","eug3","4","ObjectId(""59b95ee15a6891c02e21076d"")","AmoravyG"
"ObjectId(""59b961e05a6891c02e2107ad"")","eug9","4","ObjectId(""59b95ef55a6891c02e210773"")","Jdepaz"
"ObjectId(""59b961e95a6891c02e2107ae"")","eug16","3","ObjectId(""59b95e9a5a6891c02e210755"")","JasmineKM"
"ObjectId(""59b961f05a6891c02e2107af"")","eug8","5","ObjectId(""59b95ec45a6891c02e210767"")","aptorres"
"ObjectId(""59b9620d5a6891c02e2107b0"")","eug15","4","ObjectId(""59b961485a6891c02e21079c"")","jortega20"
"ObjectId(""59b9621c5a6891c02e2107b1"")","eug6","5","ObjectId(""59b95eb35a6891c02e21075b"")","jcisneros10"
"ObjectId(""59b962585a6891c02e2107b2"")","eug15","5","ObjectId(""59b95ebf5a6891c02e210764"")","SG21"
